source,source_lower,target,target_lower,weight,context_level,chapters,num_chapters
Наташа,наташ,Соней,сон,56,sentence,"0,9,12,14,49,52,58,61,68,69,70,71,77,79,80,86,87,89,92",19
Андрей,андр,Пьеру,пьер,46,sentence,"25,26,27,28,38,51,56,57,58,86,90,92,93",13
Денисов,денис,Николай Ростов,рост,26,sentence,"0,2,3,15,29,30,31,32,33,34,61",11
Андрея,андре,Наташа,наташ,25,sentence,"37,50,51,52,54,56,57,58,67,68,69,70,71,72,77,78,79,81,84,92",20
Марьи Дмитриевны,дмитриевн,Наташа,наташ,23,sentence,"77,78,83,85,86,89,90",7
Андрей,андр,Наташа,наташ,20,sentence,"51,52,54,56,57,58,92",7
Петербурге,петербург,Пьеру,пьер,17,sentence,"5,15,16,17,19,20,24,25,36,42,46,55,58,92",14
Наташа,наташ,Николай,николай,16,sentence,"0,11,14,61,63,66,67,68,69,70",10
Долохов,долох,Николай Ростов,рост,14,sentence,"2,3,4,9,12,13",6
Андрея,андре,Пьеру,пьер,14,sentence,"25,26,36,57,75,90,92",7
Николай,николай,Соней,сон,13,sentence,"0,10,12,14,61,68,69,71",8
Николая,никола,Соней,сон,12,sentence,"10,11,68,69,70,71",6
Андрей,андр,Сперанского,сперанского,12,sentence,"40,41,53,92",4
Bourienne,bourienne,Марья,марь,11,sentence,"22,59,73,78,92",5
Марья,марь,Пьеру,пьер,11,sentence,"27,28,75,92",4
Наташа,наташ,Пьеру,пьер,11,sentence,"51,56,57,80,83,90,92,93",8
Наташа,наташ,Петя,пет,10,sentence,"0,12,63,64,66,67",6
Долохов,долох,Пьеру,пьер,10,sentence,"1,3,4,9,10,17",6
Денисов,денис,Наташа,наташ,9,sentence,"0,10,11,15,61",5
Москвы,москв,Петербурге,петербург,9,sentence,"5,20,46,55,59,75,76,82",8
Андрей,андр,Марья,марь,9,sentence,"8,22,25,27,59,73,92",7
Борису,борис,Жюли,жюл,9,sentence,"76,79",2
Москвы,москв,Николай Ростов,рост,8,sentence,"0,1,4,15",4
Наташа,наташ,Ростовых,ростовых,8,sentence,"10,20,47,58,78,80,90",7
Prusse,prusse,Le Roi,roi,8,sentence,"21,23",2
Андрей,андр,Андрея,андре,8,sentence,"22,25,26,41,56",5
Борису,борис,Николай Ростов,рост,8,sentence,"33,34,35",3
Андрея,андре,Сперанский,сперанский,8,sentence,"40,41,53",3
Наташа,наташ,Николая,никола,8,sentence,"58,61,67,69,70",5
Москвы,москв,Наташа,наташ,8,sentence,"71,77,79,80,81,90,92",7
Марья,марь,Наташа,наташ,8,sentence,"78,85,92",3
Марьи Дмитриевны,дмитриевн,Соней,сон,8,sentence,"86,89,93",3
Марьи Дмитриевны,дмитриевн,Пьеру,пьер,8,sentence,"90,93",2
Андрея,андре,Марья,марь,7,sentence,"22,27,59,60,75,86",6
Андрея,андре,Сперанского,сперанского,7,sentence,"41,53",2
Граф Илья Андреич,андреич,Наташа,наташ,7,sentence,"68,71,77,78,79,92",6
Марья,марь,Москвы,москв,7,sentence,"73,74,92",3
Анатоля,анатол,Пьеру,пьер,7,sentence,"90,91,92,93",4
Москвы,москв,Ростовых,ростовых,6,sentence,"1,9,47,77,90",5
Москвы,москв,Соней,сон,6,sentence,"1,68,71,77,79",5
Пьеру,пьер,Ростовы,ростов,6,sentence,"3,75,80,90,91,92",6
Вилларский,вилларский,Пьеру,пьер,6,sentence,"17,18",2
Андрей,андр,Ростовых,ростовых,6,sentence,"37,51,54,58",4
Андрей,андр,Петербурге,петербург,6,sentence,"38,39,41,54,58",5
Борису,борис,Наташа,наташ,6,sentence,"47,52,61,83",4
Наташа,наташ,Чт,чт,6,sentence,"58,61,67,68,93",5
Денисов,денис,Долохов,долох,5,sentence,"2,3,9,10",4
Граф Илья Андреич,андреич,Багратиона,багратион,5,sentence,2,1
Пьеру,пьер,Чт,чт,5,sentence,"4,16,56,90,91",5
Долохов,долох,Соней,сон,5,sentence,"9,10,11,12,14",5
Борису,борис,Элен,элен,5,sentence,"20,21,80",3
Александра,александр,Наполеон,наполеон,5,sentence,"33,35,36",3
Александра,александр,Бонапарт,бонапарт,5,sentence,"35,36",2
Петербурге,петербург,Ростовых,ростовых,5,sentence,"46,58",2
Берга,берг,Вера,вер,5,sentence,"46,55",2
Берга,берг,Пьеру,пьер,5,sentence,"46,55,56",3
Борису,борис,Москвы,москв,5,sentence,"47,74,76",3
Андрея,андре,Соней,сон,5,sentence,"52,56,58,70,86",5
Андрея,андре,Ростовы,ростов,5,sentence,"58,73,79,90,92",5
Граф Илья Андреич,андреич,Москвы,москв,5,sentence,"71,73,77,79",4
Анатоль Курагин,кураг,Москвы,москв,5,sentence,"76,80,82,90,92",5
Анатоль,анатоль,Долохов,долох,5,sentence,"79,82,87",3
Анатоля,анатол,Наташа,наташ,5,sentence,"81,84,85,86",4
Денисов,денис,Москвы,москв,4,sentence,"0,9,15",3
Наташа,наташ,Николинька,николиньк,4,sentence,"0,64,67",3
Долохов,долох,Москвы,москв,4,sentence,"3,4,45",3
Ах,ах,Пьеру,пьер,4,sentence,"3,16,25",3
Долохов,долох,Николай,николай,4,sentence,"9,10,13,14",4
Долоховым,долоховым,Соней,сон,4,sentence,"9,10,87",3
Николай,николай,Чт,чт,4,sentence,"14,66,67",3
Слава Богу,бог,Наташа,наташ,4,sentence,"14,78,86",3
Слава Богу,бог,Пьеру,пьер,4,sentence,"16,17,19,25",4
Андрея,андре,Про Болконского,болконского,4,sentence,"22,40,41,90",4
Andr,andr,Марья,марь,4,sentence,"22,27,60",3
Денисов,денис,Лаврушка,лаврушк,4,sentence,"29,30,61",3
Борису,борис,Тильзит,тильзит,4,sentence,"33,34",2
Наполеон,наполеон,Николай Ростов,рост,4,sentence,"33,35",2
Андрея,андре,Болконский,болконский,4,sentence,"37,39,41,50",4
Андрей,андр,Аракчеев,аракче,4,sentence,"39,40",2
Андрей,андр,Сперанский,сперанский,4,sentence,"40,41,53",3
Писание,писани,Св,св,4,sentence,45,1
Петербурге,петербург,Ростовы,ростов,4,sentence,"46,58,59",3
Борису,борис,Петербурге,петербург,4,sentence,"46,47,76,83",4
Борису,борис,Соней,сон,4,sentence,"47,52,56",3
Ах,ах,Наташа,наташ,4,sentence,"49,70,85,86",4
Анатоль,анатоль,Наташа,наташ,4,sentence,"51,81,84,90",4
Наташа,наташ,Элен,элен,4,sentence,"51,79,81,83",4
Андрея,андре,Николая,никола,4,sentence,"58,70,90",3
Наташа,наташ,Петербурге,петербург,4,sentence,"58,68,80,83",4
Диммлер,диммлер,Наташа,наташ,4,sentence,"69,70",2
Bourienne,bourienne,Наташа,наташ,4,sentence,"78,92",2
Анатоль Курагин,кураг,Наташа,наташ,4,sentence,"80,90",2
Анатоля,анатол,Андрея,андре,4,sentence,"84,85,90,92",4
Николай Ростов,рост,Соней,сон,3,sentence,"0,1",2
Наташа,наташ,Николай Ростов,рост,3,sentence,"0,29,67",3
Николинька,николиньк,Соней,сон,3,sentence,"0,14,79",3
Вера,вер,Соней,сон,3,sentence,"0,56",2
Москвы,москв,Николушка,николушк,3,sentence,"1,9",2
Долоховым,долоховым,Николай Ростов,рост,3,sentence,"2,3",2
Денисовым,денисовым,Николай Ростов,рост,3,sentence,"2,3,29",3
Пьеру,пьер,Николай Ростов,рост,3,sentence,3,1
Пьеру,пьер,Элен,элен,3,sentence,"5,20,91",3
Андрея,андре,Москвы,москв,3,sentence,"7,71,77",3
Андрей,андр,Ах,ах,3,sentence,"8,22",2
Денисов,денис,Ростовых,ростовых,3,sentence,"9,10",2
Долохов,долох,Наташа,наташ,3,sentence,"9,12,14",3
Наташа,наташ,Ростовым,ростовым,3,sentence,"9,83",2
Денисов,денис,Николай,николай,3,sentence,"9,11,34",3
Долохов,долох,Николая,никола,3,sentence,"10,11,13",3
Ах,ах,Соней,сон,3,sentence,"11,68,86",3
Осипом Алексеевичем,алексеевич,Пьеру,пьер,3,sentence,"17,42,43",3
Василий,василий,Пьеру,пьер,3,sentence,19,1
Петербурге,петербург,Элен,элен,3,sentence,"20,44,50",3
Борису,борис,Анны Павловны,павловн,3,sentence,20,1
Андрей,андр,Лысых Гор,гор,3,sentence,"22,26,59",3
Андрея,андре,Лысых Гор,гор,3,sentence,"22,28,59",3
Андрей,андр,Отчего,отчего,3,sentence,25,1
Денисов,денис,Денисову,денисов,3,sentence,"30,32,33",3
Николай Ростов,рост,Тильзит,тильзит,3,sentence,"33,34",2
Болконский,болконский,Наташа,наташ,3,sentence,"37,50,54",3
Андрей,андр,Граф Илья Андреич,андреич,3,sentence,"39,40,57",3
Андрей,андр,Сперанскому,сперанском,3,sentence,"40,51,53",3
Москвы,москв,Пьеру,пьер,3,sentence,"43,55,82",3
Борису,борис,Пьеру,пьер,3,sentence,"44,46,56",3
Вера,вер,Ростовых,ростовых,3,sentence,46,1
Берга,берг,Петербурге,петербург,3,sentence,"46,55",2
Пьеру,пьер,Ростовых,ростовых,3,sentence,"46,58,92",3
Борису,борис,Вера,вер,3,sentence,"46,56",2
Мама,мам,Наташа,наташ,3,sentence,"48,49,69",3
Наташа,наташ,Отчего,отчего,3,sentence,"48,58,69",3
Жерве,жерв,Столыпин,столып,3,sentence,53,1
Андрей,андр,Ростовым,ростовым,3,sentence,"54,57,58",3
Андрея,андре,Ростовых,ростовых,3,sentence,"54,92",2
Про Болконского,болконского,Наташа,наташ,3,sentence,"58,80",2
Наташа,наташ,Ростовы,ростов,3,sentence,"58,79,87",3
Андрея,андре,Петербурге,петербург,3,sentence,"58,59,68",3
Болконскому,болконском,Наташа,наташ,3,sentence,"61,83,90",3
Николай,николай,Петя,пет,3,sentence,"63,67",2
Илагин,илаг,Николай,николай,3,sentence,"66,67",2
Диммлер,диммлер,Николая,никола,3,sentence,"69,70",2
Диммлер,диммлер,Соней,сон,3,sentence,"69,70",2
Bourienne,bourienne,Москвы,москв,3,sentence,"73,92",2
Жюли,жюл,Марья,марь,3,sentence,"73,76",2
Жюли,жюл,Анна Михайловна,михайловн,3,sentence,76,1
Граф Илья Андреич,андреич,Соней,сон,3,sentence,"77,79",2
Анатоля,анатол,Долохов,долох,3,sentence,"82,87",2
Марьи Дмитриевны,дмитриевн,Москвы,москв,3,sentence,"90,92",2
Марьи Дмитриевны,дмитриевн,Анатоль Курагин,кураг,3,sentence,"90,92",2
Вера,вер,Наташа,наташ,2,sentence,0,1
Петя,пет,Соней,сон,2,sentence,"0,12",2
Вера,вер,Николай,николай,2,sentence,"0,14",2
Николушка,николушк,Ростовых,ростовых,2,sentence,"1,9",2
Москвы,москв,Александру Павловичу,павлович,2,sentence,"1,55",2
Английском,английск,Николай Ростов,рост,2,sentence,1,1
Английского,английского,Багратиона,багратион,2,sentence,1,1
Валуев,валу,Растопчин,растопч,2,sentence,"1,2",2
Валуев,валу,Нарышкина,нарышк,2,sentence,2,1
Беклешова,беклеш,Нарышкина,нарышк,2,sentence,2,1
Денисовым,денисовым,Долоховым,долоховым,2,sentence,"2,3",2
Несвицким,несвицким,Пьеру,пьер,2,sentence,"2,3",2
Долохов,долох,Долоховым,долоховым,2,sentence,"3,9",2
Долоховым,долоховым,Пьеру,пьер,2,sentence,"3,20",2
Москвы,москв,Элен,элен,2,sentence,"3,5",2
Долохов,долох,Элен,элен,2,sentence,"3,5",2
Денисов,денис,Пьеру,пьер,2,sentence,3,1
Долохов,долох,Несвицким,несвицким,2,sentence,3,1
Денисов,денис,Несвицким,несвицким,2,sentence,3,1
Несвицким,несвицким,Николай Ростов,рост,2,sentence,3,1
Долохов,долох,Ростовым,ростовым,2,sentence,"3,9",2
Денисовым,денисовым,Долохов,долох,2,sentence,"4,12",2
Андрей,андр,Москвы,москв,2,sentence,"6,92",2
Марья,марь,Прасковья Савишна,савишн,2,sentence,"7,22",2
Слава Богу,бог,Марья,марь,2,sentence,"7,60",2
Москвы,москв,Ростовым,ростовым,2,sentence,"9,47",2
Ростовы,ростов,Ростовых,ростовых,2,sentence,"9,77",2
Василий Дмитрич,дмитрич,Наташа,наташ,2,sentence,"10,11",2
Пьеру,пьер,Соней,сон,2,sentence,"10,93",2
Иогеля,иогел,Соней,сон,2,sentence,"11,14",2
Денисов,денис,Польше,польш,2,sentence,11,1
Долохов,долох,Чт,чт,2,sentence,"12,87",2
Николая,никола,Чт,чт,2,sentence,"14,67",2
Графиня,графин,Денисов,денис,2,sentence,15,1
Анны Павловны,павловн,Пьеру,пьер,2,sentence,"18,20",2
Анны Павловны,павловн,Пруссию,прусси,2,sentence,20,1
Autriche,autriche,Empereur,empereur,2,sentence,20,1
Анны Павловны,павловн,Элен,элен,2,sentence,"20,21",2
Ипполита,ипполит,Анны Павловны,павловн,2,sentence,21,1
Марья,марь,Николай,николай,2,sentence,"22,28",2
Богучарово,богучарово,Лысых Гор,гор,2,sentence,"22,74",2
Андрей,андр,Аустерлицком,аустерлицк,2,sentence,"22,26",2
Андрей,андр,Лысых Горах,горах,2,sentence,"22,36",2
Марья,марь,Мой,мой,2,sentence,"22,23",2
Bonaparte,bonaparte,Boukshevden,boukshevden,2,sentence,23,1
Молодой Безухов,безух,Пьеру,пьер,2,sentence,"24,79",2
Павла,павл,Петра,петр,2,sentence,24,1
Андрей,андр,Аустерлица,аустерлиц,2,sentence,"25,26",2
Аустерлица,аустерлиц,Пьеру,пьер,2,sentence,"26,38",2
Vraiment,vraiment,Марья,марь,2,sentence,"27,75",2
Vraiment,vraiment,Пьеру,пьер,2,sentence,"27,75",2
Андрей,андр,Чт,чт,2,sentence,"27,36",2
Ах,ах,Марья,марь,2,sentence,"27,75",2
Пелагеюшкой,пелагеюшк,Пьеру,пьер,2,sentence,27,1
Лаврушка,лаврушк,Николай Ростов,рост,2,sentence,"29,61",2
Пултуск,пултуск,Эйлау,эйла,2,sentence,29,1
Прейсиш,прейсиш,Эйлау,эйла,2,sentence,29,1
Прейсиш,прейсиш,Пултуск,пултуск,2,sentence,29,1
Денисов,денис,Машкин,машк,2,sentence,"29,30",2
Николай Ростов,рост,Ростовы,ростов,2,sentence,"29,33",2
Денисов,денис,Ростовы,ростов,2,sentence,"30,32",2
Денисов,денис,Тильзит,тильзит,2,sentence,"33,34",2
Борису,борис,Жилинского,жилинского,2,sentence,33,1
Борису,борис,Денисов,денис,2,sentence,"33,61",2
Александра,александр,Николай Ростов,рост,2,sentence,"34,35",2
Наполеон,наполеон,Эрфурт,эрфурт,2,sentence,"36,40",2
Марья,марь,Николушка,николушк,2,sentence,"38,59",2
Андрей,андр,Ежели,ежел,2,sentence,"38,52",2
Андрей,андр,Аракчееву,аракчеев,2,sentence,39,1
Андрей,андр,Какое,како,2,sentence,"40,58",2
Наполеон,наполеон,Сперанский,сперанский,2,sentence,"40,53",2
Про Болконского,болконского,Сперанский,сперанский,2,sentence,"40,41",2
Андрей,андр,Болконский,болконский,2,sentence,"40,41",2
Андрей,андр,Сперанским,сперанским,2,sentence,"40,41",2
Андрей,андр,Сперанском,сперанск,2,sentence,"41,92",2
Болконский,болконский,Сперанский,сперанский,2,sentence,41,1
Андрея,андре,Сперанском,сперанск,2,sentence,"41,53",2
Андрея,андре,Сперанскому,сперанском,2,sentence,41,1
Осипом Алексеевичем,алексеевич,Москвы,москв,2,sentence,"43,45",2
Отрадном,отрадн,Николай Ростов,рост,2,sentence,"46,61",2
Берга,берг,Ростовых,ростовых,2,sentence,46,1
Вера,вер,Петербурге,петербург,2,sentence,46,1
Москвы,москв,Ростовы,ростов,2,sentence,"46,59",2
Молодой Безухов,безух,Перонская,перонска,2,sentence,"46,50",2
Молодой Безухов,безух,Петербурге,петербург,2,sentence,"46,50",2
Борису,борис,Ростовых,ростовых,2,sentence,"46,48",2
Берга,берг,Борису,борис,2,sentence,"46,55",2
Аустерлица,аустерлиц,Берга,берг,2,sentence,46,1
Берга,берг,Ростовы,ростов,2,sentence,46,1
Наташа,наташ,Позвольте,позвольт,2,sentence,"49,81",2
Безухову,безухов,Анатоль Курагин,кураг,2,sentence,"50,80",2
Андрея,андре,Борису,борис,2,sentence,"52,56",2
Андрея,андре,Вера,вер,2,sentence,56,1
Вера,вер,Натали,натал,2,sentence,56,1
Андрея,андре,Отрадное,отрадно,2,sentence,"58,61",2
Наташа,наташ,Отрадное,отрадно,2,sentence,"58,67",2
Андрей,андр,Соней,сон,2,sentence,"58,93",2
Лысых Гор,гор,Марья,марь,2,sentence,59,1
Жюли Карагиной,карагин,Марья,марь,2,sentence,"59,82",2
Андрей,андр,Ростовы,ростов,2,sentence,"60,92",2
Данила,данил,Николай,николай,2,sentence,63,1
Слава Богу,бог,Тебе,теб,2,sentence,65,1
Илагин,илаг,Ростовы,ростов,2,sentence,66,1
Ерзу,ерз,Илагин,илаг,2,sentence,66,1
Ерзу,ерз,Милка,милк,2,sentence,66,1
Николая,никола,Николай,николай,2,sentence,"66,67",2
Наташа,наташ,Анисья Федоровна,федоровн,2,sentence,67,1
Диммлер,диммлер,Петя,пет,2,sentence,"68,69",2
Москвы,москв,Николая,никола,2,sentence,68,1
Жюли,жюл,Москвы,москв,2,sentence,"68,76",2
Андрея,андре,России,росси,2,sentence,"68,79",2
Schoss,schoss,Наташа,наташ,2,sentence,69,1
Захар,захар,Николай,николай,2,sentence,69,1
Пелагея Даниловна,даниловн,Соней,сон,2,sentence,"69,70",2
Марьи Ивановны,ивановн,Соней,сон,2,sentence,"69,70",2
Николая,никола,Ростовых,ростовых,2,sentence,71,1
Болконский,болконский,Москвы,москв,2,sentence,"73,90",2
Bourienne,bourienne,Андрей,андр,2,sentence,"73,92",2
Bourienne,bourienne,Граф Илья Андреич,андреич,2,sentence,"74,92",2
Дом Карагиных,карагиных,Москвы,москв,2,sentence,76,1
Борису,борис,Дом Карагиных,карагиных,2,sentence,76,1
Марьи Дмитриевны,дмитриевн,Ростовых,ростовых,2,sentence,"77,78",2
Иверской,иверск,Обер,обер,2,sentence,77,1
Марьи Дмитриевны,дмитриевн,Шальме,шальм,2,sentence,"77,83",2
Марья,марь,Ростовых,ростовых,2,sentence,78,1
Ведь,ведь,Наташа,наташ,2,sentence,"78,79",2
Анатоль Курагин,кураг,Пьеру,пьер,2,sentence,"80,90",2
Duport,duport,Элен,элен,2,sentence,"80,81",2
Анатоль,анатоль,Элен,элен,2,sentence,"81,84",2
Андрея,андре,Чт,чт,2,sentence,"81,86",2
Долохов,долох,Анатоль Курагин,кураг,2,sentence,"82,88",2
Долоховым,долоховым,Наташа,наташ,2,sentence,"85,87",2
Слава Богу,бог,Соней,сон,2,sentence,86,1
Анатоля,анатол,Соней,сон,2,sentence,86,1
Макарин,макар,Хвостиков,хвостик,2,sentence,87,1
Анатоль,анатоль,Долоховым,долоховым,2,sentence,"87,88",2
Балага,балаг,Долохов,долох,2,sentence,87,1
Анатоля,анатол,Марьи Дмитриевны,дмитриевн,2,sentence,"88,90",2
"Марьи Дмитриевны
Ахросимовой",ахросимов,Пьеру,пьер,2,sentence,90,1
Анатоль,анатоль,Марьи Дмитриевны,дмитриевн,2,sentence,"90,92",2
Андрей,андр,Десале,десал,2,sentence,92,1
Десале,десал,Пьеру,пьер,2,sentence,92,1
Буксгевдену,буксгевден,Петербурге,петербург,2,sentence,93,1
Воронеж,воронеж,Москвы,москв,1,sentence,0,1
Воронеж,воронеж,Николай Ростов,рост,1,sentence,0,1
Дмитрий,дмитрий,Николай Ростов,рост,1,sentence,0,1
Николай Ростов,рост,Смотри,смотр,1,sentence,0,1
Вася,вас,Денисову,денисов,1,sentence,0,1
Здоровы,здоров,Николай Ростов,рост,1,sentence,0,1
Вера,вер,Анна Михайловна,михайловн,1,sentence,0,1
Вера,вер,Петя,пет,1,sentence,0,1
Анна Михайловна,михайловн,Петя,пет,1,sentence,0,1
Анна Михайловна,михайловн,Наташа,наташ,1,sentence,0,1
Вера,вер,Денисов,денис,1,sentence,0,1
Голубчик,голубчик,Денисов,денис,1,sentence,0,1
Голубчик,голубчик,Наташа,наташ,1,sentence,0,1
Николушка,николушк,Ростовы,ростов,1,sentence,0,1
Гей,гей,Денисов,денис,1,sentence,0,1
Гришка,гришк,Денисов,денис,1,sentence,0,1
Гей,гей,Гришка,гришк,1,sentence,0,1
Наташа,наташ,Поздно,поздно,1,sentence,0,1
Денисову,денисов,Петя,пет,1,sentence,0,1
Денисову,денисов,Наташа,наташ,1,sentence,0,1
Nicolas,nicolas,Отчего,отчего,1,sentence,0,1
Вера,вер,Николинька,николиньк,1,sentence,0,1
Николушка,николушк,Николай Ростов,рост,1,sentence,1,1
Гаврилы,гаврил,Соней,сон,1,sentence,1,1
Божьего,божьего,Соней,сон,1,sentence,1,1
Божьего,божьего,Гаврилы,гаврил,1,sentence,1,1
Денисов,денис,Каменским,каменским,1,sentence,1,1
Архаровых,архаровых,Денисов,денис,1,sentence,1,1
Архаровых,архаровых,Каменским,каменским,1,sentence,1,1
Багратиона,багратион,Николай Ростов,рост,1,sentence,1,1
Английском,английск,Багратиона,багратион,1,sentence,1,1
Багратиона,багратион,Феоктисту,феоктист,1,sentence,1,1
Английского,английского,Феоктисту,феоктист,1,sentence,1,1
Максимке,максимк,Митинька,митиньк,1,sentence,1,1
Багратиона,багратион,Право,право,1,sentence,1,1
Право,право,Шенграбенскому,шенграбенском,1,sentence,1,1
Багратиона,багратион,Шенграбенскому,шенграбенском,1,sentence,1,1
Какова,как,Феоктисту,феоктист,1,sentence,1,1
Илья Андреевич,андреевич,Безухову,безухов,1,sentence,1,1
Ипатка,ипатк,Разгуляй,разгуляй,1,sentence,1,1
Орлова,орл,Разгуляй,разгуляй,1,sentence,1,1
Ильюшку,ильюшк,Разгуляй,разгуляй,1,sentence,1,1
Ипатка,ипатк,Орлова,орл,1,sentence,1,1
Ильюшку,ильюшк,Ипатка,ипатк,1,sentence,1,1
Ильюшку,ильюшк,Орлова,орл,1,sentence,1,1
Слава Богу,бог,Боря,бор,1,sentence,1,1
Долохов,долох,Марьи Ивановны,ивановн,1,sentence,1,1
Долохов,долох,Анна Михайловна,михайловн,1,sentence,1,1
Анна Михайловна,михайловн,Пьеру,пьер,1,sentence,1,1
Говорят,говорят,Пьеру,пьер,1,sentence,1,1
Австрийского,австрийского,Английского,английского,1,sentence,1,1
Австрийского,австрийского,Багратиона,багратион,1,sentence,1,1
Аустерлицком,аустерлицк,Москвы,москв,1,sentence,1,1
Марков,марк,Растопчин,растопч,1,sentence,1,1
Юрий Владимирович Долгорукий,долгорукий,Марков,марк,1,sentence,1,1
Вяземский,вяземский,Марков,марк,1,sentence,1,1
Марков,марк,Николай Ростов,рост,1,sentence,1,1
Английском,английск,Марков,марк,1,sentence,1,1
Люди,люд,Марков,марк,1,sentence,1,1
Валуев,валу,Марков,марк,1,sentence,1,1
Юрий Владимирович Долгорукий,долгорукий,Растопчин,растопч,1,sentence,1,1
Вяземский,вяземский,Растопчин,растопч,1,sentence,1,1
Растопчин,растопч,Николай Ростов,рост,1,sentence,1,1
Английском,английск,Растопчин,растопч,1,sentence,1,1
Люди,люд,Растопчин,растопч,1,sentence,1,1
Вяземский,вяземский,Юрий Владимирович Долгорукий,долгорукий,1,sentence,1,1
Юрий Владимирович Долгорукий,долгорукий,Николай Ростов,рост,1,sentence,1,1
Английском,английск,Юрий Владимирович Долгорукий,долгорукий,1,sentence,1,1
Юрий Владимирович Долгорукий,долгорукий,Люди,люд,1,sentence,1,1
Валуев,валу,Юрий Владимирович Долгорукий,долгорукий,1,sentence,1,1
Вяземский,вяземский,Николай Ростов,рост,1,sentence,1,1
Английском,английск,Вяземский,вяземский,1,sentence,1,1
Вяземский,вяземский,Люди,люд,1,sentence,1,1
Валуев,валу,Вяземский,вяземский,1,sentence,1,1
Люди,люд,Николай Ростов,рост,1,sentence,1,1
Валуев,валу,Николай Ростов,рост,1,sentence,1,1
Английском,английск,Люди,люд,1,sentence,1,1
Английском,английск,Валуев,валу,1,sentence,1,1
Валуев,валу,Люди,люд,1,sentence,1,1
Кутузова,кутуз,Ланжерона,ланжерон,1,sentence,1,1
Ланжерона,ланжерон,Пршебышевского,пршебышевского,1,sentence,1,1
Кутузова,кутуз,Пршебышевского,пршебышевского,1,sentence,1,1
Аустерлица,аустерлиц,Багратиона,багратион,1,sentence,1,1
Аустерлица,аустерлиц,Шенграбенским,шенграбенским,1,sentence,1,1
Багратиона,багратион,Шенграбенским,шенграбенским,1,sentence,1,1
Багратиона,багратион,Москвы,москв,1,sentence,1,1
Итальянского,итальянского,Суворова,сувор,1,sentence,1,1
Вольтера,вольтер,Ежели,ежел,1,sentence,1,1
Ежели,ежел,Шиншин,шинш,1,sentence,1,1
Багратиона,багратион,Ежели,ежел,1,sentence,1,1
Вольтера,вольтер,Шиншин,шинш,1,sentence,1,1
Багратиона,багратион,Вольтера,вольтер,1,sentence,1,1
Багратиона,багратион,Шиншин,шинш,1,sentence,1,1
Москвы,москв,Немцами,немцам,1,sentence,1,1
Немцами,немцам,Растопчин,растопч,1,sentence,1,1
Долгорукова,долгорук,Немцами,немцам,1,sentence,1,1
Москвы,москв,Растопчин,растопч,1,sentence,1,1
Долгорукова,долгорук,Москвы,москв,1,sentence,1,1
Долгорукова,долгорук,Растопчин,растопч,1,sentence,1,1
Нарышкина,нарышк,Растопчин,растопч,1,sentence,2,1
Аустерлица,аустерлиц,Уваров,увар,1,sentence,2,1
Аустерлица,аустерлиц,Петербурге,петербург,1,sentence,2,1
Петербурге,петербург,Уваров,увар,1,sentence,2,1
Нарышкина,нарышк,Суворова,сувор,1,sentence,2,1
Кутузова,кутуз,Суворова,сувор,1,sentence,2,1
Георгиевскою,георгиевско,Николай Ростов,рост,1,sentence,2,1
Аустерлицкого,аустерлицкого,Георгиевскою,георгиевско,1,sentence,2,1
Аустерлицкого,аустерлицкого,Николай Ростов,рост,1,sentence,2,1
Курским,курским,Шенграбене,шенграбен,1,sentence,2,1
Александра,александр,Славь,славь,1,sentence,2,1
Граф Илья Андреич,андреич,Росс,росс,1,sentence,2,1
Багратиона,багратион,Росс,росс,1,sentence,2,1
Гром,гр,Росс,росс,1,sentence,2,1
Граф Илья Андреич,андреич,Гром,гр,1,sentence,2,1
Багратиона,багратион,Гром,гр,1,sentence,2,1
Багратиона,багратион,Нарышкина,нарышк,1,sentence,2,1
Александра,александр,Багратиона,багратион,1,sentence,2,1
Багратиона,багратион,Беклешова,беклеш,1,sentence,2,1
Александра,александр,Нарышкина,нарышк,1,sentence,2,1
Александра,александр,Беклешова,беклеш,1,sentence,2,1
Багратиона,багратион,Шенграбенском,шенграбенск,1,sentence,2,1
Выпив,выпив,Многие,многи,1,sentence,2,1
Апраксина,апракс,Долгорукова,долгорук,1,sentence,2,1
Долгорукова,долгорук,Нарышкина,нарышк,1,sentence,2,1
Граф Илья Андреич,андреич,Долгорукова,долгорук,1,sentence,2,1
Долгорукова,долгорук,Уваров,увар,1,sentence,2,1
Валуев,валу,Долгорукова,долгорук,1,sentence,2,1
Беклешова,беклеш,Долгорукова,долгорук,1,sentence,2,1
Апраксина,апракс,Нарышкина,нарышк,1,sentence,2,1
Граф Илья Андреич,андреич,Апраксина,апракс,1,sentence,2,1
Апраксина,апракс,Уваров,увар,1,sentence,2,1
Апраксина,апракс,Валуев,валу,1,sentence,2,1
Апраксина,апракс,Беклешова,беклеш,1,sentence,2,1
Граф Илья Андреич,андреич,Нарышкина,нарышк,1,sentence,2,1
Нарышкина,нарышк,Уваров,увар,1,sentence,2,1
Граф Илья Андреич,андреич,Уваров,увар,1,sentence,2,1
Граф Илья Андреич,андреич,Валуев,валу,1,sentence,2,1
Граф Илья Андреич,андреич,Беклешова,беклеш,1,sentence,2,1
Валуев,валу,Уваров,увар,1,sentence,2,1
Беклешова,беклеш,Уваров,увар,1,sentence,2,1
Беклешова,беклеш,Валуев,валу,1,sentence,2,1
Долоховым,долоховым,Москвы,москв,1,sentence,3,1
